Estado civil,Migración,Sexo,Edad en la matrícula,Extranjero,Necesidades educativas especiales,Moroso,Pago de matrícula en día,Becado,Tasa de desempleo,Tasa de inflación,PIB,Curso,Período,Calificación previa,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (evaluaciones),disciplinas 1º semestre (aprobadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sin evaluaciones),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (evaluaciones),disciplinas 2º semestre (aprobadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sin evaluaciones),Target
Soltero,Sí,Masculino,20,No,No,No,Sí,No,10.8,1.4,1.74,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,Desertor
Soltero,Sí,Masculino,19,No,No,No,No,No,13.9,-0.3,0.79,Turismo,Diurno,Educación secundaria,0,6,6,6.0,3.5,0,0,6,6,6.0,3.4,0,Graduado
Soltero,Sí,Masculino,19,No,No,No,No,No,10.8,1.4,1.74,Diseño de Comunicación,Diurno,Educación secundaria,0,6,0,0.0,0.0,0,0,6,0,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,9.4,-0.8,-3.12,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,8,6.0,3.4,0,0,6,10,5.0,3.1,0,Graduado
Casado,No,Femenino,45,No,No,No,Sí,No,13.9,-0.3,0.79,Servicio Social (nocturno),Nocturno,Educación secundaria,0,6,9,5.0,3.1,0,0,6,6,6.0,3.2,0,Graduado
Casado,No,Masculino,50,No,No,Sí,Sí,No,16.2,0.3,-0.92,Gestión (nocturno),Nocturno,Educación básica 3º ciclo (9º/10º/11º) o equivalente,0,5,10,5.0,3.0,0,0,5,17,5.0,2.9,5,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,15.5,2.8,-4.06,Enfermería,Diurno,Educación secundaria,0,7,9,7.0,3.3,0,0,8,8,8.0,3.6,0,Graduado
Soltero,Sí,Masculino,22,No,No,No,No,No,15.5,2.8,-4.06,Turismo,Diurno,Educación secundaria,0,5,5,0.0,0.0,0,0,5,5,0.0,0.0,0,Desertor
Soltero,No,Femenino,21,Sí,No,No,Sí,Sí,16.2,0.3,-0.92,Servicio Social,Diurno,Educación secundaria,0,6,8,6.0,3.5,0,0,6,7,6.0,3.5,0,Graduado
Soltero,Sí,Femenino,18,No,No,Sí,No,No,8.9,1.4,3.51,Servicio Social,Diurno,Educación secundaria,0,6,9,5.0,2.8,0,0,6,14,2.0,3.4,0,Desertor
Soltero,Sí,Femenino,18,No,No,No,Sí,No,13.9,-0.3,0.79,Gestión de Publicidad y Marketing,Diurno,Educación secundaria,0,6,6,6.0,3.1,0,0,6,7,5.0,3.6,0,Graduado
